R2466	1.9,6.9	E	
R2467	1.7,3.4	E	
R2468	1.3	G	discipline-choice card ([vis]/[tha]) counts as the chosen discipline for all purposes once played; general but no section owns multi-discipline-choice card classification; nearest 1.3 (card types/multi-type cards)
R2469	5.8	P	
R2470	5.3	E	
R2471	2.5,3.3	P	
R2472	4.8	E	
R2473	1.13	P	
R2474	1.6	E	
R2475	1.13	E	
R2476	1.6	P	
R2477	1.6	E	
R2478	1.6,1.8	E	
R2479	5.7,5.8	P	
R2480	1.6,5.8	P	
R2481	1.6,5.8	P	
R2482	1.6,5.8	P	
R2483	1.6	G	card-conferred status "when played" (eg chosen for a contract) persists as a fact, vs the same status conferred by an ongoing in-play effect does not; watch-list candidate flagged in calibration (single instance) — nearest 1.6's play-vs-in-play requirement distinction, but this is about conferred status, not requirements
R2484	1.6	C	Orun/Aye clan-restricted cards cannot be placed on him while he is not Laibon; ordinary clan-requirement application, no transfer beyond Laibon-restricted cards on a non-Laibon-counting vampire; fails non-obviousness
R2485	5.1	C	specific capacity-threshold interaction with {Call the Great Beast}'s own burn/counter mechanic; fails transfer — affects no other card
R2486	1.6,1.7	P	
R2487	1.6	P	
R2488	1.6	E	
R2489	3.2	C	card-specific interaction/reversal ruling for {No Secrets From the Magaji}; a one-off reversal, not a template — fails transfer
R2490	1.6	E	
R2491	1.6,5.8	E	
R2492	1.6,5.8	E	
R2493	1.6,5.8	E	
R2494	1.6,5.8	E	
R2495	1.6,5.8	E	
R2496	1.6	E	
R2497	5.8	P	
R2498	3.7.3	E	
R2499	1.7	C	his cost-reduction ability restricted to masters played by his own controller; restates the ordinary controller-scoped reading of "his controller", fails non-obviousness
R2500	3.6	P	
R2501	3.6	P	
R2502	3.6,1.9	P	
R2503	5.3	E	
R2504	1.7,1.8	E	
R2505	1.7,1.8	E	
R2506	5.3	P	
R2507	4.1	G	ability usable only when its own vampire is personally a combat participant, not merely when combat is occurring anywhere; recurs (White Lily.2) but no section owns ability-eligibility tied to self-combat-participation; nearest 4.1
R2508	1.6	P	
R2509	4.1	G	same gap as Watenda.4 — ability restricted to use while its own bearer is personally in combat
R2510	1.6	E	
R2511	1.6,1.7	E	
R2512	1.6	E	
R2513	5.8	E	
R2514	5.1	P	
R2515	1.2,5.8	G	his innate vote bonus and a title's vote bonus stack additively; cumulative/stacking effects is a watch-list gap (cf. Betrayer.3) — nothing owns effect-stacking generally; nearest 1.2 (periodicity/templates, by calibration convention) and 5.8 (title-granted votes)
R2516	5.1	E	
R2517	5.1	E	
R2518	5.8	E	
R2519	2.4,5.5	E	
R2520	1.8,3.7.4	E	
R2521	3.7.4,1.6	E	
R2522	3.7.4,1.6	E	
R2523	5.2	C	her unlock trigger keyed to a specific action (defecting to become Anarch); card-specific reflex condition, fails transfer
R2524	3.7.1	G	a mandatory-bleed obligation ends once fulfilled, freeing normal action-taking; no section owns forced/mandatory-action obligations against normal turn structure; nearest 3.7.1 (bleed actions)
R2525	3.7.1	G	a different bleed-granting effect does not satisfy a distinct mandatory-bleed obligation; same gap as .1/.3
R2526	3.7.1	G	if the mandatory bleed cannot be performed (already bled this turn), she is locked out of acting entirely; same mandatory-action-obligation gap
R2527	1.2,6.6	E	
R2528	5.1,6.2	E	
R2529	3.1	P	
R2530	1.2	E	
R2531	1.6	E	
R2532	4.1	E	
R2533	5.2	C	being locked by one effect doesn't prevent normal unlock afterward; restates default lock/unlock behavior, fails non-obviousness
R2534	1.6	E	
R2535	1.3,1.7	E	
R2536	6.2	P	
R2537	1.10	P	
R2538	1.13	P	
R2539	3.7.2	P	
R2540	5.2,5.7	P	
R2541	2.3,2.4	P	
R2542	2.3,5.3	P	
R2543	1.9,6.4	P	
R2544	1.6,6.8	P	
R2545	1.2	P	
R2546	5.5,3.5,4.9	P	!DROPPED:4.7
R2547	5.7	P	
R2548	1.3,1.6	P	
R2549	1.2	P	
R2550	6.5,3.7.6	P	
R2551	5.6,4.4,4.5	P	
R2552	4.4,4.6,4.7	P	
R2553	5.5	P	
R2554	5.7	P	
R2555	1.9	P	
R2556	3.7.6,3.7.5	P	
R2557	3.7.5,3.7.6	P	
R2558	6.9,2.1	P	
R2559	1.2,4.10,4.3	P	
R2560	1.9,2.4	P	
R2561	4.5	P	
R2562	1.5,5.3	P	
R2563	1.12	P	
R2564	5.6,4.3	P	
R2565	3.7.6,1.2,1.11	P	
R2566	6.6,1.1	P	
R2567	1.7	P	
R2568	4.5,4.4	P	
R2569	5.8,3.1	P	
R2570	3.8,1.2	P	
R2571	3.1	P	
R2572	1.6,5.8	P	
R2573	5.8,5.1	P	
R2574	3.7.6,5.3,1.2	P	
R2575	3.7.6,1.2	P	
R2576	5.7	P	
R2577	5.8,1.13,3.8	P	
R2578	5.7	P	
R2579	5.7	P	
R2580	4.10,1.2	P	
R2581	4.10,1.2	P	
R2582	1.3,6.3	P	
R2583	3.1,1.3	P	
R2584	1.3,1.7	P	
R2585	4.3,3.4	P	
R2586	4.10	P	
R2587	2.2	P	
R2588	2.2,1.9	P	
R2589	5.1,1.11	P	
R2590	6.7,5.1	P	
R2591	1.10	P	
R2592	1.10	P	
R2593	1.8	P	
R2594	1.8,1.9	P	
R2595	1.8	P	
R2596	1.8,3.5,4.3	P	
R2597	1.3	P	
R2598	3.5	P	
R2599	1.8,3.5	P	[cited — 3.5.4]
R2600	3.5,3.7.4,3.7.5	P	
R2601	1.8,5.2	P	
R2602	1.8,2.1	P	
R2603	1.8,4.1	P	
R2604	3.7.2	P	
R2605	1.7	P	
