R0013	1.6	P	abnormal play (diablerie, effects putting cards in play) ignores requirements — 1.6's named scope
R0039	3.6,1.11	P	continue-as-if-unblocked is implemented as a zone move; 1.11 because the ash heap location is the gating condition
R0065	4.5	P	prevention cards may be played before there is damage to prevent — prevention window
R0086	2.4,6.2	E	ordering of discard-phase effects vs. an end-of-turn return, plus loss of control voiding the return; touches the discard phase but the general content is ordering + control
R0091	5.3,4.9	E	going to torpor as trigger, its interruption, and end of combat consequences
R0117	5.2,6.4	P	"comes back unlocked" is not unlocking — the canonical distinction
R0143	1.2	E	multiple copies of a periodic effect are cumulative and each is paid for separately
R0169	2.5,3.3	P	duration of a prohibition: from block attempt to end of action, even on a failed block
R0195	4.5	E	unpreventable damage means prevention cards cannot be played at all, not even to cycle
R0221	1.6,1.3	E	partial applicability when the bearer does not meet the card's trait clause; haven/equipment dual nature
R0247	3.7.4,5.5	E	an ally recruited this turn may still lock to use an ability — same template as R1521
R0273	1.7,1.2	P	"burn blood" effects stack; 1.7 owns burn-blood-to effects, 1.2 the cumulativity template
R0299	6.2,5.4	E	temporary control meeting minion burning [calibration answer]
R0325	1.1	P	mandatory vs. optional effects
R0351	3.5	P	the "ends unsuccessfully immediately" template closes the window for further modifiers/reactions
R0377	6.4,3.5	P	a re-entering card is a new entity for all purposes, including NRA repetition limits
R0403	4.8,4.9	E	timing relative to the press step and survival of a premature round end
R0406	3.3	E	"cannot attempt to block" template — blocking, not stealth and not lock/unlock
R0429	3.6,3.3	P	re-block opportunities after continuation; a prior decline stands
R0455	4.4	E	damage in combat vs. damage after combat
R0481	-	C	restriction on which vampires this specific card may be moved to; the exclusion follows entirely from what the card grants. Not 1.6 (no requirement principle stated) and not 1.13 (no contest, just a prohibition)
R0507	3.4,2.1	E	which reaction/modifier windows remain open once the "would be successful" point is passed
R0533	3.2,1.8	E	a card may be played even where it will have no effect; contrast R0195
R0544	-	G	hand size: cards that are not replaced still count against hand size. General and homeless — 1.9 owns replacement but nothing owns the hand-size count itself. Candidate section: 6.9 hand-and-discard
R0559	4.6	E	a dodge may still be declared even when it will accomplish nothing
R0577	1.13	E	shared hand-size vocabulary but the general content is contesting [calibration contrast case]
R0582	3.3	E	"cannot attempt to block" template
R0585	1.6,1.7,3.7.4	E	abnormal entry ignores requirements and cost, and the entrant may act the turn it arrives
R0611	6.4,2.5	E	an effect keeps track of a minion across a burn and a return to play
R0637	3.3	P	an effect lifting the who-may-block restriction does not lift the other block requirements
R0663	4.2	E	range changes take effect immediately for cards keyed to range
R0689	3.2,3.8	E	a stealth penalty applies to every action including the action provided to burn the card itself
R0715	4.5	P	"prevent up to X" may be used for less
R0741	5.7,2.5	E	a temporary trait override takes precedence over a permanent trait change; note no code cleanly owns sect as a trait
R0767	6.7,3.1	E	uncontrolled vampires are not legal targets
R0793	-	C	quantity reading of this card's own search wording; nothing general — 1.1's "reading card text" is about card text vs. rulebook conflicts, not disambiguating one card's own count
R0810	3.3	E	"cannot attempt to block" template — deliberately NOT 5.2 even though the card unlocks
R0819	3.7.5,2.4	E	ordering of a card's payout relative to the referendum's own effects
R0845	5.5,3.7.5	E	"as a vampire" allows an ally to call a referendum
R0871	5.3,5.7	E	minions in torpor still count for a "control a X" check
