R0122	1.7,1.2	general arithmetic-order principle for ability values with an inherent floor/minimum (apply modifiers before the floor) — distinct from 1.7's cost-arithmetic order, which is the nearest kin	100134|Barrenness.1	[mal] is unaffected by {Orun}. [MAL] is affected by {Orun} (add and subtract before applying the minimum of 1). [ANK 20180719-1]
R0161	5.3,1.15	torpor-rescue burning all such clot counters remains homeless (nearest 5.3); the stacking half (multiple clot counters cumulative on one vampire) is now owned by 1.15, replacing the old 1.2 near-miss.	100174|Blade Clot.1	Multiple clot counters can be placed on the same vampires if he his hit multiple times. When rescued by an older vampire, all clot counters are burned. [PIB 20150122]
R1733	1.6,5.7	sect as a trait (watch-list) — being non-Anarch doesn't block equipping an Anarch-flavored card, only suppresses the effects that require it; nothing owns sect itself as a gating trait (cf. taxonomy's Galaric's Legacy watch-list entry). 1.6 nearest (requirements to play vs. keep)	101872|Stolen Police Cruiser.1	Can be equipped by a non-Anarch and would count as a vehicle, although the rest of his effect does not apply. [LSJ 20030607]
R1734	3.7.3,1.6	same sect-as-trait gap — equipping an Anarch-flavored card is not itself "an action requiring an Anarch." 3.7.3 nearest (equip actions) but doesn't own sect-as-trait	101872|Stolen Police Cruiser.2	Equipping it does not count as an action requiring an Anarch (eg. for {CrimethInc.}). [ANK 20170918]
R1930	-	No section owns library-cut mechanics (how a Methuselah may divide/cut a deck being manipulated); rare mechanic, nothing in the taxonomy claims deck-cutting procedure	102074|Unity.1	You can cut however you want (eg. count cards, cut only one or two). [LSJ 20060413]
R1985	5.7,5.8	Sect-as-a-trait gap (watch-list, per taxonomy): nothing owns sect classification / eligibility for sect-keyed effects like {Anarch Manifesto, An}; 5.7 (traits) and 5.8 (titles/sect change) both touch it, neither claims it	102128|Vivienne Géroux.2	Is not Anarch (eg. does not benefit from {Anarch Manifesto, An}). [RBK allies] [ANK 20230417]
R2017	3.7.4	No section states that non-action means of putting a vampire into play (eg. recruit-like abilities) don't count as an "action" for action-keyed effects like {Blood Cult Awareness Network}'s stealth reduction; nearest 3.7.4 (recruit action), though it only covers the action itself	102165|Web of Knives Recruit.1	It is not an action to put a vampire in play (eg. {Blood Cult Awareness Network} does not give it -1 stealth). [LSJ 20060616-2]
R2069	4.10	No section owns whether placing a card/counter on a minion opens a "steal" opportunity — a real transferable principle no scope line claims. Nearest 4.10 (equipment theft), but that section is about stealing in combat, not placement triggers.	102232|Platinum Protocol, The.2	[pro] Putting a corruption counter on a minion does not give you an opportunity to steal it. [ANK 20200925] [ANK 20211105]
R2468	1.3	discipline-choice card ([vis]/[tha]) counts as the chosen discipline for all purposes once played; general but no section owns multi-discipline-choice card classification; nearest 1.3 (card types/multi-type cards)	201393|Tupdog.1	Card with disciplines choices (eg. [vis]/[tha]) are considered of the discipline they are played as. [PIB 20150924-2]
R2483	1.6	card-conferred status "when played" (eg chosen for a contract) persists as a fact, vs the same status conferred by an ongoing in-play effect does not; watch-list candidate flagged in calibration (single instance) — nearest 1.6's play-vs-in-play requirement distinction, but this is about conferred status, not requirements	201446|Vidal Jarbeaux.8	If a contract chooses him when played (eg. {Dirty Contract}), he is "chosen for the contract" for other cards (eg. {Open Dossier}). If the contract choice is an effect of the card in play (eg. {Clandestine Contract}), he's not chosen. [LSJ 20070708] [LSJ 20071109]
