R0002	{419 Operation} edge-burn interaction with its own counter mechanism; fails transfer — affects no other card. Nearest was 6.5, but that owns the Edge as a resource, not cards consuming it	100002|419 Operation.1	You can burn the edge to burn the card if it has no counter. [ANK 20221011-3]
R0019	{Abyssal Hunter} restates its own printed burn-trigger condition (ranged aggravated damage at close range); fails transfer — no other card's ruling changes. Nearest 4.4, but that owns damage mechanics generally, not this card's own vulnerability text	100014|Abyssal Hunter.1	Burns if ranged aggravated damage is inflicted on it at close range. [PIB 20110818]
R0024	{Admonitions, The} control-retention rule keyed to being the sole controller of a Sabbat vampire; fails transfer — bespoke to this card's own control-rotation mechanism. Nearest 6.3, but that owns control-taking generally, not this specific retention condition	100023|Admonitions, The.2	If you are the only Methuselah to control a Sabbat vampire, you keep control of The Admonitions each turn. [LSJ 20031121]
R0096	{Ashur Tablets} confirms play is legal despite an empty ash heap; fails non-obviousness (no stated precondition to violate) and transfer (specific to this card's own lack of a precondition). Nearest 1.11	100106|Ashur Tablets.1	Can be played with no card in the ash heap. [PIB 20130119]
R0104	card effects gated on the vampire being Laibon; fails non-obviousness — a clan/type gate is expected card text, not a general rule. Nearest 1.6	100120|Aye.2	The cards effects do not apply if the vampire is not Laibon. [ANK 20221208]
R0112	age restriction is this card's own conditional clause tied to controlling a ready Lasombra; fails transfer — no broader age-comparison rule taught. Nearest 5.1	100128|Baltimore Purge.3	If you control a ready Lasombra, the chosen vampires may not be older than the acting vampire. [ANK 20210529]
R0119	restates the basic "no legal target, no play" rule; fails non-obviousness — any fluent judge knows this. Nearest 3.1	100131|Banishment.6	Cannot be played if there is no legal target. [ANK 20191228]
R0128	cannot affect equipment no longer in play; same "no legal target" rule as R0119. Nearest 3.1	100142|Bauble.2	It cannot be burned if the target equipment is not in play. [RTR 20080808]
R0132	confirms {Change of Target} carries no age restriction after this card; fails transfer — a fact about Change of Target's own printed text, not a rule that changes other rulings. Nearest 3.5	100144|Bear-Baiting.3	{Change of Target} can be played after Bear-Baiting (younger, older, or the same age). [LSJ 20040312]
R0142	describes this card's own guess-the-vampire mechanic; fails transfer — no other card shares this guessing mechanism. Nearest 1.2 (only the "each of their turns" periodicity is generic)	100156|Betrayer.2	Each of their turns, the person subjected to Betrayer can name a vampire. If the guess is correct, Betrayer is burned. [RTR 19941109]
