R0013	1.6	P	abnormal entry (diablerie, effects putting cards in play) ignores requirements — 1.6's named scope
R0039	3.6,1.11	P	continuation mechanics; the ash-heap/limbo round trip makes 1.11 (card location) load-bearing
R0065	4.5	P	prevention window: playable before there is damage to prevent
R0086	-	G	discard phase as an orderable window: effects applied during the discard phase resolve before end-of-turn return effects. 2.4 covers ordering generically but names only the unlock phase; no code owns the discard phase itself. Candidate section: 6.9 hand-and-discard
R0091	4.9,5.3	E	combat ending triggered by torpor, and what survives interrupting that trigger
R0117	5.2,6.4	P	returning to play unlocked is not "unlocking" — lock-state vs. unlock-event distinction
R0143	1.2	E	each copy tracks its own periodicity/effect independently; "each turn" is per-card, not per-controller
R0169	2.5,3.3	E	duration of an effect keyed to a block attempt, persisting past a failed block
R0195	4.5	E	prevention cards cannot be played when there is nothing to prevent (cycling); note tension with R0065-style "can be played with no damage yet" rulings — flagged as written
R0221	1.6,1.1	E	a clan/sect clause gates part of the card's effect, not the ability to play or keep it
R0247	3.7.4,1.5	E	locking to use an ability is not acting, so the "cannot act the turn recruited" limit does not bite
R0273	1.7	P	"burn blood to" effects are cumulative — 1.7's named cost-vs-burn-effect scope
R0299	6.2,5.4	E	temporary control meeting minion burning
R0325	1.1	P	mandatory vs. optional effects
R0351	3.5	P	the "action ends" template and its consequence: window closes for modifiers and reactions
R0377	6.4,3.5	P	re-entering play resets identity, including the once-per-turn action repetition limit
R0403	4.8,4.9	E	press step timing and playability when the round ends prematurely
R0406	3.3	E	the "cannot attempt to block" template — about blocking, not stealth or lock/unlock
R0429	3.6,3.3	P	continue-as-if-unblocked does not reopen block declaration for those who declined
R0455	4.4,4.9	E	damage in combat vs. damage after combat
R0481	-	C	reads this card's "Malkavian" restriction as also covering Malkavian antitribu; the whole content is clan-name matching on this card's own text. Not 5.7 — that section covers named trait classes (Black Hand, Scarce, Infernal), not whether an antitribu clan counts as its base clan
R0507	3.4,2.1	E	positions a card in the post-announcement window relative to "when the action is/would be successful" effects
R0533	3.2,1.1	E	a stealth modifier may be played where it will have no effect
R0544	-	G	hand size: cards not replaced still count against hand size. Judge-statable without the card ("your hand size counts the cards you hold, replaced or not"). Touches 1.9 replacement, but the subject is hand-size accounting, which no code owns. Candidate section: 6.9 hand-and-discard
R0559	4.6	E	dodge scope: a dodge can still be declared even when it will accomplish nothing
R0577	1.13	E	same hand-size vocabulary as the gap candidates, but the general content is contesting — shared vocabulary is not a shared gap
R0582	3.3	E	the "cannot attempt to block" template
R0585	1.6,1.7,3.7.4	P	effects putting cards into play ignore requirements and costs; the new minion can act the turn it enters
R0611	6.4	E	what a card remembers across leaving and re-entering play
R0637	3.3	P	an effect lifting the who-may-block restriction does not lift the other block requirements
R0663	4.2	E	a range change applies immediately for subsequent card play
R0689	3.2	E	a continuous stealth modifier applies to every action by that vampire, including the action removing the card
R0715	4.5	P	"prevent up to X" allows preventing less
R0741	5.7,2.5	E	sect change: a temporary override takes precedence over a permanent one. FLAG: sect (and clan) changes have no dedicated home — 5.7 lists traits but not sect, 5.8 covers sect change only via titles. Filed under 5.7+2.5 rather than G because "temporary overrides permanent" is genuinely 2.5's scope
R0767	6.7,3.1	E	uncontrolled vampires are not legal targets for cards targeting minions
R0793	-	C	reads the singular in this card's own search clause (one Kiasyd, not any number). Nothing general — 1.1 owns card text vs. rulebook, not disambiguating a single card's own quantity wording
R0810	3.3	E	the "cannot attempt to block" template, on an unlock card — label the ruling, not the card
R0819	3.7.5	E	ordering within referendum resolution: card effects tied to a referendum apply after the referendum's own effects
R0845	5.5	E	an ally acting "as a vampire" can call a referendum
R0871	5.3	E	a minion in torpor is still controlled and still counts for control-counting requirements
