R1703	3.9	P	-	CHANGE	This is the taxonomy's own cited absorption: the failed 'minion-phase action ordering' watch item names Spirit Marionette.2 itself as a mandatory-actions ruling, not a phase-ordering one. Direct hit for 3.9's 'mandatory before non-mandatory in the minion phase.'
R1704	3.9,3.7.1	E	-	CHANGE	Discharging the mandatory-bleed obligation by playing a card is 3.9's 'discharge' sub-topic, paired with Spirit Marionette.2 (also moved to 3.9 in this pass). Kept 3.7.1 since the action type is bleed-specific.
R1716	1.15	E	-	CHANGE	Per-copy trigger interaction (only the first Spying Mission triggers per action, later copies don't) is exactly 1.15's 'per-copy triggers' / stacking-cap scope -- the original note itself flags this as the same gap family as Betrayer.3, which is 1.15's founding example. Gap now closed.
R1718	3.4,2.3	E	-	KEEP	3.4's/2.3's 'when the action would resolve' timing window governs why Mask can't be played after Spying Mission, not any substitution of who is acting; 3.10 doesn't apply -- Mask is merely named as a card that CAN'T be used here.
R1733	1.6,5.7	G	sect as a trait (watch-list) — being non-Anarch doesn't block equipping an Anarch-flavored card, only suppresses the effects that require it; nothing owns sect itself as a gating trait (cf. taxonomy's Galaric's Legacy watch-list entry). 1.6 nearest (requirements to play vs. keep)	KEEP	5.9 requires a trait-CHANGE governance question (later effect governs); this ruling is static -- a card's own text gates its EFFECT on a sect trait without gating the equip/play itself. That's an ordinary requirements-to-play-vs-benefit split (1.6's domain), not a precedence dispute. Remains a genuine gap for that reason; 5.9's precedence scope doesn't reach a static play/benefit split.
R1734	3.7.3,1.6	G	same sect-as-trait gap — equipping an Anarch-flavored card is not itself "an action requiring an Anarch." 3.7.3 nearest (equip actions) but doesn't own sect-as-trait	KEEP	Same reasoning as Stolen Police Cruiser.1 (R1733): 'equipping does not count as an action requiring an Anarch' is a static effect-gating fact, not a trait-change precedence dispute; 5.9 doesn't reach it.
R1752	1.7	E	-	CHANGE	1.7 was explicitly widened for this: 'effects naming an amount the target may not hold (steal/transfer templates take what is there).' Direct hit; gap closed.
R1765	3.7.4,5.5	E	-	KEEP	Mentions 'the acting vampire' but is about ally-recruitment timing (playing an ally directly after unlocking is a separate action), not about substituting who the actor is; 3.10 doesn't apply.
R1775	1.15	E	-	CHANGE	Multiple copies of a non-action card each independently playable/effective within one action is exactly 1.15's 'multiple copies of a card each exerting their effect vs. one combined result.' Gap closed.
R1779	3.4,3.7.4	E	-	KEEP	Mentions 'acting minion' only to say where a recruited/employed Swarm goes if the action is blocked -- not a substitution of who the actor is; 3.10 doesn't apply.
R1788	5.4,3.7.5	P	-	KEEP	About whether a burn caused by referendum/side-effect counts as 'the acting minion burning him' for other effects keyed to that phrasing -- an attribution question, not actor substitution; 3.10 doesn't apply.
R1791	1.1,4.8	P	-	KEEP	A mandatory PRESS is a combat sub-step (4.8), not one of 3.9's game ACTIONS (bleed, hunt, etc.); 1.1 already carries the mandatory/optional framing generally. 3.9 doesn't reach it.
R1836	1.15	P	-	CHANGE	'Multiple copies... do not stack... steals only burn the counters on one of them' is 1.15's own 'does not stack with similar effects' language almost verbatim. Same gap family as Betrayer.3.
R1849	1.7	E	-	CHANGE	Same 1.7 widening as Succubus.1 (steal templates take what is there) -- paired instance, same gap.
R1855	-	C	fixes this card's own printed sect; card-specific fact, no general principle	KEEP	Fixes this one card's own printed sect -- no trait-change precedence, no stacking, no mandatory action, no actor substitution. None of the expansion's new codes touch a bare printed-sect fact; remains C as before.
R1866	1.7	E	-	CHANGE	Same 1.7 widening as Succubus.1 / Theft of Vitae.1 -- paired instance, same gap.
R1885	4.4	E	-	KEEP	About which damage SOURCE qualifies (environmental vs. the acting vampire's own damage), not about substituting who the actor is; 3.10 doesn't apply. 4.4 already owns environmental damage exclusions.
R1926	3.9,3.7.2,3.7.8	E	!DROPPED:1.1	CHANGE	'This is a mandatory action' (the choice between hunt and diablerize when empty) is squarely 3.9's core scope ('what makes an action mandatory'), now the more central owner than 1.1's general mandatory/optional framing. Dropped 1.1 as a defensible 4th (noted).
R1930	-	G	No section owns library-cut mechanics (how a Methuselah may divide/cut a deck being manipulated); rare mechanic, nothing in the taxonomy claims deck-cutting procedure	KEEP	-
R1956	6.9	E	-	CHANGE	6.9 was widened exactly for 'default visibility of card manipulation (library searches ... are not shown)'. Direct hit, paired with Vaticination.1. Gap closed; dropped 3.7.3, which was only ever a gap-filler by action-type, not by content.
R1957	6.9,1.9	E	-	CHANGE	Same 6.9 visibility widening as Vast Wealth.6 ('replacement draws are not shown'), the taxonomy's own cited example. Kept 1.9 secondary since replacement mechanics remain its own topic.
R1961	2.1	E	-	KEEP	About who may play the card (the acting minion's controller), not about substituting who the actor is -- 3.10 doesn't reach this.
R1969	3.6,3.5	E	-	KEEP	Mask is named only as a card that CANNOT be used to continue a canceled combat -- the ruling is about which cards may continue an action as-if-unblocked (3.6) after a cancel (3.5), not about Mask's actor-substitution function; 3.10 doesn't apply here.
R1985	5.7,5.8	G	Sect-as-a-trait gap (watch-list, per taxonomy): nothing owns sect classification / eligibility for sect-keyed effects like {Anarch Manifesto, An}; 5.7 (traits) and 5.8 (titles/sect change) both touch it, neither claims it	KEEP	5.9 requires a trait-CHANGE governance question over time; this states a static classification fact (not Anarch despite flavor/name) with no competing effect changing the trait at a different time. Remains a genuine gap for that reason -- 5.7/5.8 still nearest.
R2005	3.7.7,5.2,5.9	E	!DROPPED:3.7.5	CHANGE	The second half of the ruling (clan checked at unlock time, after the acting vampire's clan has changed) is exactly 5.9's 'whether a changed trait counts... for other cards' triggers' -- same shape as the taxonomy's own Derange.7 clan precedent. Added 5.9; dropped 3.7.5, which here only anchors timing rather than teaching its own principle.
R2017	3.7.4	G	No section states that non-action means of putting a vampire into play (eg. recruit-like abilities) don't count as an "action" for action-keyed effects like {Blood Cult Awareness Network}'s stealth reduction; nearest 3.7.4 (recruit action), though it only covers the action itself	KEEP	-
R2039	-	C	!WORDING mechanics of a two-card combo (Wormwood capping capacity + Orun adding to it); fails transfer beyond this pairing. Nearest 5.1, which doesn't own capacity-stacking between two named cards.	KEEP	A bespoke two-named-card capacity interaction (Wormwood's own cap + Orun's own text keying off 'that X'), not multiple instances of the SAME/similar effect stacking -- 1.15 owns repeated-effect stacking, not arbitrary two-card capacity math between named cards. Stays C.
R2042	5.9,5.8	P	-	CHANGE	This IS the cited founding case for 5.9: 'precedence of a temporary sect override over the underlying sect, and its persistence through a later underlying-sect change' = 5.9's 'temporary override vs. permanent change' verbatim. Kept 5.8 secondary (title eligibility).
R2043	5.8	P	-	KEEP	5.8 already explicitly claims 'sect change effects on titles' in its own scope line -- already the right home. Not a 5.9 matter: there's no second effect competing to change the same trait at a different time, just the ordinary consequence of a sect change on title status.
R2046	3.5,3.7.5	E	-	KEEP	Mentions 'the acting minion/vampire' but is about a readiness/state check gating whether the referendum is conducted, not about substituting who the actor is; 3.10's actor-substitution scope doesn't apply.
R2048	3.5,3.7.5	E	-	KEEP	Mentions 'the acting minion/vampire' but is about a readiness/state check gating whether the referendum is conducted, not about substituting who the actor is; 3.10's actor-substitution scope doesn't apply.
R2049	4.9,3.7.5	E	-	KEEP	Mentions 'the acting minion/vampire' but is about a readiness/state check gating whether the referendum is conducted, not about substituting who the actor is; 3.10's actor-substitution scope doesn't apply.
R2050	4.9,3.7.5	P	-	KEEP	Mentions 'the acting minion/vampire' but is about a readiness/state check gating whether the referendum is conducted, not about substituting who the actor is; 3.10's actor-substitution scope doesn't apply.
R2056	6.1	E	-	KEEP	About who may play the card (the acting minion's controller), not about substituting who the actor is -- 3.10 doesn't reach this.
R2063	3.10,1.2	E	-	CHANGE	A used-this-action restriction surviving a Mask-of-a-Thousand-Faces actor substitution is exactly 3.10's 'which effects carry over (action modifiers)' -- before 3.10 existed this had nowhere to go but 1.2. Kept 1.2 secondary (periodicity/once-per-X).
R2069	4.10	G	No section owns whether placing a card/counter on a minion opens a "steal" opportunity — a real transferable principle no scope line claims. Nearest 4.10 (equipment theft), but that section is about stealing in combat, not placement triggers.	KEEP	Not stacking (1.15 governs multiple instances of an effect combining, not a single counter-placement's side effects) and not 1.12 (which owns hosted-card burn/counter-threshold conventions, not steal-opportunity timing). Remains genuinely homeless for that reason.
R2108	5.8	P	-	KEEP	Title-votes-persist-through-sect-change is 5.8's own explicit scope ('sect change effects on titles') -- the taxonomy's own guard-rail example (a title's votes belongs in 5.8, not 5.9, even though it names a sect).
R2113	5.8	P	-	KEEP	Title-votes-persist-through-sect-change is 5.8's own explicit scope ('sect change effects on titles') -- the taxonomy's own guard-rail example (a title's votes belongs in 5.8, not 5.9, even though it names a sect).
R2129	5.8	P	-	KEEP	Title-votes-persist-through-sect-change is 5.8's own explicit scope ('sect change effects on titles') -- the taxonomy's own guard-rail example (a title's votes belongs in 5.8, not 5.9, even though it names a sect).
R2140	5.8	P	-	KEEP	Title-votes-persist-through-sect-change is 5.8's own explicit scope ('sect change effects on titles') -- the taxonomy's own guard-rail example (a title's votes belongs in 5.8, not 5.9, even though it names a sect).
R2149	5.8	P	-	KEEP	Title-votes-persist-through-sect-change is 5.8's own explicit scope ('sect change effects on titles') -- the taxonomy's own guard-rail example (a title's votes belongs in 5.8, not 5.9, even though it names a sect).
R2150	5.8	P	-	KEEP	Title-votes-persist-through-sect-change is 5.8's own explicit scope ('sect change effects on titles') -- the taxonomy's own guard-rail example (a title's votes belongs in 5.8, not 5.9, even though it names a sect).
R2152	5.8	P	-	KEEP	Title-votes-persist-through-sect-change is 5.8's own explicit scope ('sect change effects on titles') -- the taxonomy's own guard-rail example (a title's votes belongs in 5.8, not 5.9, even though it names a sect).
R2162	5.1,5.8	E	-	KEEP	Merge fixes the merged vampire's identity/sect as a single defining fact (5.1's 'vampire creation / crypt card identity'), not a trait-precedence dispute between two competing effects (5.9) -- there is no earlier value being overridden here, just an outright identity replacement. Kept 5.8 secondary since the merged identity is itself a title.
R2172	5.8	P	-	KEEP	Title-votes-persist-through-sect-change is 5.8's own explicit scope ('sect change effects on titles') -- the taxonomy's own guard-rail example (a title's votes belongs in 5.8, not 5.9, even though it names a sect).
R2178	5.1	E	-	KEEP	Merge fixes the merged vampire's identity/sect as a single defining fact (5.1's 'vampire creation / crypt card identity'), not a trait-precedence dispute between two competing effects (5.9) -- there is no earlier value being overridden here, just an outright identity replacement.
R2179	5.8	P	-	KEEP	Title-votes-persist-through-sect-change is 5.8's own explicit scope ('sect change effects on titles') -- the taxonomy's own guard-rail example (a title's votes belongs in 5.8, not 5.9, even though it names a sect).
R2184	1.12,1.10,1.7	P	-	CHANGE	This is the literal worked example cited in 1.12's own widening text ('burn thresholds keyed to another value, eg. vandal counters vs. a location's blood cost'). Direct hit, gap closed.
R2186	5.8	P	-	KEEP	Title-votes-persist-through-sect-change is 5.8's own explicit scope ('sect change effects on titles') -- the taxonomy's own guard-rail example (a title's votes belongs in 5.8, not 5.9, even though it names a sect).
R2191	1.15	E	-	CHANGE	'No additional effect' from multiple counters (a flat effect that does not scale with counter count) is 1.15's own scope line verbatim. Same gap family as Betrayer.3.
R2209	5.2,1.1	P	-	KEEP	'Unlocking the unlocked' is 5.2's own explicit scope line; this is a mandatory ABILITY applying regardless of state, not a mandatory ACTION (3.9's game-action scope) -- 3.9 doesn't reach it.
R2210	5.8	P	-	KEEP	Title-votes-persist-through-sect-change is 5.8's own explicit scope ('sect change effects on titles') -- the taxonomy's own guard-rail example (a title's votes belongs in 5.8, not 5.9, even though it names a sect).
R2218	5.1	E	-	KEEP	Merge fixes the merged vampire's identity/sect as a single defining fact (5.1's 'vampire creation / crypt card identity'), not a trait-precedence dispute between two competing effects (5.9) -- there is no earlier value being overridden here, just an outright identity replacement.
R2222	5.1	E	-	KEEP	Merge fixes the merged vampire's identity/sect as a single defining fact (5.1's 'vampire creation / crypt card identity'), not a trait-precedence dispute between two competing effects (5.9) -- there is no earlier value being overridden here, just an outright identity replacement.
R2223	5.8,3.7.6	E	-	KEEP	Title losing benefit from a global sect-collapsing effect (Fall of the Sabbat) is 5.8's own domain ('sect change effects on titles' / dormant titles), not a trait-precedence dispute -- there's no second effect competing to change the same trait at a different time.
R2228	5.8	P	-	KEEP	Title-votes-persist-through-sect-change is 5.8's own explicit scope ('sect change effects on titles') -- the taxonomy's own guard-rail example (a title's votes belongs in 5.8, not 5.9, even though it names a sect).
R2232	5.1	E	-	KEEP	Merge fixes the merged vampire's identity/sect as a single defining fact (5.1's 'vampire creation / crypt card identity'), not a trait-precedence dispute between two competing effects (5.9) -- there is no earlier value being overridden here, just an outright identity replacement.
R2239	5.8	E	-	KEEP	A requirement checked against the vampire's CURRENT sect is plain 5.8/1.6 requirements territory; there is no second effect competing for the same trait at a different time, so 5.9 doesn't add anything here.
R2243	1.5,1.2	E	-	KEEP	Card-accumulation rate (one per unlock) is periodicity/ability-use (1.2/1.5), not multiple EFFECT instances combining -- 1.15 owns repeated-effect stacking, not one ability's own repeated accumulation rate.
R2246	5.8	P	-	KEEP	Title-votes-persist-through-sect-change is 5.8's own explicit scope ('sect change effects on titles') -- the taxonomy's own guard-rail example (a title's votes belongs in 5.8, not 5.9, even though it names a sect).
R2253	5.8	P	-	KEEP	Title-votes-persist-through-sect-change is 5.8's own explicit scope ('sect change effects on titles') -- the taxonomy's own guard-rail example (a title's votes belongs in 5.8, not 5.9, even though it names a sect).
R2254	5.1	E	-	KEEP	Merge fixes the merged vampire's identity/sect as a single defining fact (5.1's 'vampire creation / crypt card identity'), not a trait-precedence dispute between two competing effects (5.9) -- there is no earlier value being overridden here, just an outright identity replacement.
R2261	1.13	P	-	KEEP	About whether bringing a second same-name vampire into play counts as 'burning' the first (1.13's contest domain) -- not a substitution of who is acting; 3.10 doesn't apply.
R2264	1.15	E	-	CHANGE	Same flat-effect-despite-counter-count gap as Dr. Morrow (R2191) -- verbatim 1.15 scope. Gap closed.
R2265	5.8	P	-	KEEP	Title-votes-persist-through-sect-change is 5.8's own explicit scope ('sect change effects on titles') -- the taxonomy's own guard-rail example (a title's votes belongs in 5.8, not 5.9, even though it names a sect).
R2266	5.8	E	-	KEEP	Title persistence through a sect-collapse event (Fall of the Camarilla) is 5.8's own scope ('sect change effects on titles'), not a 5.9 precedence dispute between two competing effects.
R2268	5.8	E	-	KEEP	A title-identity/value fact (Imperator is worth 3 votes) -- 5.8's own domain, not a trait-change precedence question; 5.9 doesn't apply.
R2269	5.8	P	-	KEEP	Title-votes-persist-through-sect-change is 5.8's own explicit scope ('sect change effects on titles') -- the taxonomy's own guard-rail example (a title's votes belongs in 5.8, not 5.9, even though it names a sect).
R2272	5.8	P	-	KEEP	Title-votes-persist-through-sect-change is 5.8's own explicit scope ('sect change effects on titles') -- the taxonomy's own guard-rail example (a title's votes belongs in 5.8, not 5.9, even though it names a sect).
R2274	1.6,5.8	E	-	KEEP	Title-substitutes-for-sect-requirement is 1.6/5.8's own established template (a title counts as membership in its sect for other cards' requirements), not a 5.9 precedence question -- no two effects are competing over the same trait at different times.
R2277	1.6,5.8	E	-	KEEP	Title-substitutes-for-sect-requirement is 1.6/5.8's own established template (a title counts as membership in its sect for other cards' requirements), not a 5.9 precedence question -- no two effects are competing over the same trait at different times.
R2278	5.8	P	-	KEEP	Title-votes-persist-through-sect-change is 5.8's own explicit scope ('sect change effects on titles') -- the taxonomy's own guard-rail example (a title's votes belongs in 5.8, not 5.9, even though it names a sect).
R2280	3.7.6	E	-	KEEP	About a status change (gaining a counter) after casting invalidating a vote -- 3.7.6's own sequencing domain, not multiple instances of an effect combining; 1.15 doesn't apply.
R2287	5.8	P	-	KEEP	Title-votes-persist-through-sect-change is 5.8's own explicit scope ('sect change effects on titles') -- the taxonomy's own guard-rail example (a title's votes belongs in 5.8, not 5.9, even though it names a sect).
R2289	5.8	P	-	KEEP	Title-votes-persist-through-sect-change is 5.8's own explicit scope ('sect change effects on titles') -- the taxonomy's own guard-rail example (a title's votes belongs in 5.8, not 5.9, even though it names a sect).
R2290	5.1	E	-	KEEP	Merge fixes the merged vampire's identity/sect as a single defining fact (5.1's 'vampire creation / crypt card identity'), not a trait-precedence dispute between two competing effects (5.9) -- there is no earlier value being overridden here, just an outright identity replacement.
R2294	1.1	P	-	KEEP	A mandatory CHOICE within a card effect (no default may be forced) is 1.1's mandatory/optional-effects scope, not one of 3.9's game ACTIONS; 3.9 doesn't reach it.
R2304	1.1,4.8,4.3	P	-	KEEP	Mandatory PRESS and mandatory STRIKE are combat sub-steps (4.8/4.3), not 3.9's game ACTIONS (bleed, hunt, etc.); 1.1 already carries the mandatory/optional framing. 3.9 doesn't reach it.
R2307	5.1	E	-	KEEP	Merge fixes the merged vampire's identity/sect as a single defining fact (5.1's 'vampire creation / crypt card identity'), not a trait-precedence dispute between two competing effects (5.9) -- there is no earlier value being overridden here, just an outright identity replacement.
R2313	5.8	P	-	KEEP	Title-votes-persist-through-sect-change is 5.8's own explicit scope ('sect change effects on titles') -- the taxonomy's own guard-rail example (a title's votes belongs in 5.8, not 5.9, even though it names a sect).
R2317	5.8	P	-	KEEP	Title-votes-persist-through-sect-change is 5.8's own explicit scope ('sect change effects on titles') -- the taxonomy's own guard-rail example (a title's votes belongs in 5.8, not 5.9, even though it names a sect).
R2318	5.8	P	-	KEEP	Title-votes-persist-through-sect-change is 5.8's own explicit scope ('sect change effects on titles') -- the taxonomy's own guard-rail example (a title's votes belongs in 5.8, not 5.9, even though it names a sect).
R2322	5.1	P	-	KEEP	Merge fixes the merged vampire's identity/sect as a single defining fact (5.1's 'vampire creation / crypt card identity'), not a trait-precedence dispute between two competing effects (5.9) -- there is no earlier value being overridden here, just an outright identity replacement.
R2323	5.1	P	-	KEEP	Merge fixes the merged vampire's identity/sect as a single defining fact (5.1's 'vampire creation / crypt card identity'), not a trait-precedence dispute between two competing effects (5.9) -- there is no earlier value being overridden here, just an outright identity replacement.
