R0010	E	secondary	100006|Abbot.1	The +1 intercept applies to actions directed at cards controlled by the controller. It does not apply to actions directed at other Methuselahs. [LSJ 20061222]
R0070	P	PRIMARY	100083|Arcanum Investigator.1	His action is directed against the Methuselah controlling the equipment, not the minion it's on. [LSJ 20090324]"
R0077	E	PRIMARY	100085|Archon Investigation.3	Targets the bleeding vampire (eg. costs one more against {Secure Haven}, cannot be played on {Mimir}). [LSJ 20010817] [PIB 20131013]
R0097	E	PRIMARY	100106|Ashur Tablets.2	Is played without announcing targets: they are only chosen once the third copy get into play. [LSJ 20091030]
R0103	P	PRIMARY	100120|Aye.1	Any frenzy card that targets/selects/chooses/affects the minion when played, is considered being played on the minion. [LSJ 20051113]
R0111	E	PRIMARY	100128|Baltimore Purge.2	The effect during the unlock phase is not an action, you can choose a vampire with a {Secure Haven} on them. [PIB 20121028]
R0114	E	PRIMARY	100131|Banishment.1	Is not directed (eg. {Secure Haven} offers no protection). [ANK 20221019-3]
R0141	P	PRIMARY	100156|Betrayer.1	The affected Methuselah is named when the card is played. [RTR 19980928]
R0145	E	PRIMARY	100156|Betrayer.5	You select an uncontrolled vampire when you play the card. If you have a choice (more than one of your uncontrolled vampires is controlled by the other Methuselah), you still have to choose just one of them to be the Betrayer. [LSJ 19990419]
R0157	E	secondary	100171|Black Sunrise.3	[QUI] Does not ignore the normal prey, predator or target restrictions. [ANK 20180623]
R0171	E	PRIMARY	100184|Blessing of the Beast.1	The number of cards to put on it is announced when the card is played, they must be in hand before drawing the replacement for this card. [PIB 20150428] [LSJ 20100206-2]
R0326	E	PRIMARY	100326|Chanjelin Ward.1	Applies to an action if any one of its targets would be enough to enable his effect. [LSJ 20080809-2] [RTR 20081119]
R0332	E	PRIMARY	100334|Charming Lobby.1	The target Political Action card is announced when announcing the action. It must be in hand before replacing the Charming Lobby. [RTR 19991001] [LSJ 20101210]
R0336	E	secondary	100334|Charming Lobby.5	If used on a political action card in hand, that card must be announced and in hand when Charming Lobby is played, before it is replaced, but need not to be shown: it can be kept apart face down. If the action is canceled or failed, the political action card stays in hand. [ANK 20220704] [ANK 20180925-2] [LSJ 20101210] [LSJ 20100130]
R0363	E	PRIMARY	100359|Clio's Kiss.1	[tem] The card to retrieve must be announced when declaring the action. [LSJ 20010627]
R0382	P	PRIMARY	100391|Conceal.1	Is directed against the Methuselah controlling the equipment or location, not the minion it's on. [LSJ 20090324]
R0383	E	secondary	100392|Concealed Weapon.1	The weapon must be announced and in hand when the card is played, before it is replaced, but need not to be shown: it can be kept apart face down. [LSJ 19991207] [ANK 20180925-2] [LSJ 20100130]
R0390	E	PRIMARY	100396|Condemn the Sins of the Father.1	Is directed at all Methuselah controlling one of the chosen targets. [RTR 20081119] [ANK 20180917]
R0437	E	PRIMARY	100486|Daemonic Possession.1	This is not a directed action, even when targeting another Methuselah's ash heap. [LSJ 20010627] [ANK 20181129]
R0497	E	PRIMARY	100532|Detect Authority.3	[ani] Not usable against actions targeting an equipment or retainer, they do not target the minion. [LSJ 20090324]
R0514	P	secondary	100555|Disguised Weapon.1	The weapon is announced when the card is played, it must be in hand but need not to be shown. You can put the card apart face down when announcing it. [LSJ 19991207] [ANK 20180925-2]
R0522	E	secondary	100563|Diversion.1	[tha] can target a vampire with no blood. [RTR 20010711]
R0530	E	secondary	100576|Donnybrook.1	[ser] can target a minion with less than 2 blood or life. [RTR 20010711]
R0537	E	secondary	100582|Drain Essence.1	Can target a minion with less blood or life than the amount stolen. [RTR 20010711]
R0565	P	secondary	100607|Eccentric Billionaire.1	The "lock to reduce the cost" effect can be used when the action is announced or when the cost is paid. [LSJ 20090705] [ANK 20170605]
R0575	P	PRIMARY	100615|Edged Illusion.1	[CHI] If some minions cannot be targeted because of another effect, the action will simply have no effect on the things it cannot target. [RTR 20080808]
R0576	E	PRIMARY	100618|Elder Intervention.1	Can be used during any bleed attempt made against you, not just ones declared against you. [RTR 19960530]
R0612	E	PRIMARY	100665|Eternal Mask, The.3	[SER] is not a directed action, even when targeting another Methuselah's ash heap. [LSJ 20010627] [ANK 20181129]
R0674	P	PRIMARY	100733|Fire Dance.1	The target vampire is chosen when the action is announced. [RTR 19970425]
R0754	E	PRIMARY	100813|Gear Up.1	[nec] The card to retrieve must be announced when declaring the action. [LSJ 20010627]
R0756	P	PRIMARY	100816|Ghost-Eater.1	This is not a directed action, even when targeting another Methuselah's ash heap. [LSJ 20010627] [ANK 20181129]
R0769	E	PRIMARY	100827|Gift of Proteus.1	The number of cards to put on it is announced when the action is declared, they must be in hand before drawing the replacement for this card. [PIB 20150428]
R0781	P	PRIMARY	100841|Goblinism.1	[pot] The action is directed at the Methuselah controlling the location, undirected if you control it. [RBK who-may-attempt-to-block] [LSJ 20090324]
R0796	P	PRIMARY	100856|Gremlins.1	[myt] Is directed against the Methuselah controlling the equipment, not the minion it's on. [LSJ 20090324]
R0827	P	PRIMARY	100893|Haunt.1	[NEC] The action is directed at the Methuselah controlling the location, undirected if you control it. [RBK who-may-attempt-to-block] [LSJ 20090324]
R0908	E	PRIMARY	100966|Impundulu.2	If he uses his ability to steal blood or life from one of his controller's minions, the action is undirected. [ANK 20180917]
R0914	E	PRIMARY	100972|Incriminating Videotape.1	The target is chosen when the card is played, and does not change. If stolen, the chosen minion is unable to block the new possessor (and can now block whoever used to have it). [TOM 19960114] [LSJ 20020514]
R0949	E	PRIMARY	101016|Jack of Both Sides.2	The target card is announced when announcing the action, but is not discarded if the action fails. It must be in hand before replacing the Jack. [LSJ 20040519-2] [RTR 19991001] [LSJ 20101210]
R0973	E	PRIMARY	101041|Keystone Kine.1	[obf] The ally is chosen at action resolution (not declaration). [ANK 20240706] [LSJ 20080608]
R0977	P	PRIMARY	101046|Khazar's Diary (Endless Night).1	The action to put a minion from any ash heap into play is not a directed action, even when targeting another Methuselah's ash heap. [LSJ 20010627] [ANK 20181129]
R1051	E	PRIMARY	101124|Loss.1	[qui] Is directed against the Methuselah controlling the equipment or location, not the minion it's on. [LSJ 20090324]
R1068	E	PRIMARY	101132|Lunatic Eruption.4	The action to burn it is directed at the Methuselah who controls the minion it is on. It is undirected if it is yourself. [LSJ 20010328]
R1083	E	PRIMARY	101143|Magic of the Smith.3	The equipment need not be declared, it is chosen upon resolution. [PIB 20150315]
R1144	E	secondary	101201|Mental Maze.2	Can be played if the requirement was met at the time of block, even if an older slave replaced the acting vampire since. [ANK 20171212]
R1212	E	PRIMARY	101261|Mylan Horseed.1	His action to unlock is undirected if the target is a vampire controlled by it's controller, directed otherwise. [PIB 20121028]
R1257	E	secondary	101309|Obedience.7	Cannot be played if the opponent is not the acting vampire, for example if a slave took his place. [ANK 20171212]
R1258	P	PRIMARY	101315|Of Noble Blood.1	Is a directed action if a vampire controlled by another Methuselah is chosen. [ANK 20190606]
R1287	E	PRIMARY	101349|Pandora's Whisper.1	The card to retrieve must be announced when declaring the action. [LSJ 20010627]
R1351	E	PRIMARY	101479|Predator's Transformation.1	[abo] [ACTION MODIFIER] Any directed action that ends up burning an ally counts as a directed action burning an ally (eg. {Horseshoes}). [ANK 20220507]
R1354	E	PRIMARY	101481|Pressing Flesh.1	This is not a directed action, even when targeting another Methuselah's ash heap. [LSJ 20010627] [ANK 20181129]
R1364	P	PRIMARY	101486|Principia Discordia.4	[aus] is directed against the Methuselah controlling the equipment, not the minion it's on. [LSJ 20090324]
R1390	P	PRIMARY	101513|Public Trust.1	[PRE] The target uncontrolled vampire is chosen upon declaration. [ANK 20240706]
R1416	P	PRIMARY	101553|Ravnos Carnival.2	How many counters are used from the Carnival must be announced as part of the terms of the action. [RTR 20111202]
R1457	P	PRIMARY	101603|Renewed Vigor.1	[obe], [OBE]: Is undirected if you control the target, directed at the controller of the target otherwise. [PIB 20121210]
R1480	P	secondary	101631|Revolutionary Council.1	Unlocked Anarchs are chosen when choosing terms. They still count if they get locked during the vote. [LSJ 20081203]
R1531	E	PRIMARY	101681|Sargon Fragment, The.1	When using the provided action, the card to retrieve must be named when declaring the action. [LSJ 20010627]
R1537	E	PRIMARY	101688|Scarlet Lore.1	[nec] The card to retrieve must be announced when declaring the action. [LSJ 20010627]
R1556	E	PRIMARY	101706|Second Tradition: Domain.3	Does not ignore the normal prey, predator or target restrictions. [ANK 20180623]
R1561	P	PRIMARY	101711|Secure Haven.2	Choosing is targeting: cards that "choose" the vampire like {The Rack}, {Toreador Grand Ball}, {Piper} or {Tend the Flock} are considered to target it, their cost is increased. Actions that choose the vampire cannot be played against him (eg. {Propaganda}, {Spirit Marionette}, {Shattering Crescendo}) [LSJ 20031010] [LSJ 20090319] [ANK 20180907]
R1562	P	PRIMARY	101711|Secure Haven.3	Actions that target retainers, equipment, or other cards on the minion are allowed, as are actions that target cards not on the minion, even if such cards have "named" or "chosen" that minion. [TOM 19951208-1] [LSJ 19980302-1]
R1569	E	PRIMARY	101717|Sense the Savage Way.3	[ANI] Does not ignore the normal prey, predator or target restrictions. [ANK 20180623]
R1625	E	PRIMARY	101765|Shepherd's Innocence.1	[ANI] Is directed at all Methuselah controlling a card that require Animalism [ani]. [LSJ 20080809-1] [RTR 20081119]
R1637	E	PRIMARY	101784|Siphon.1	Vampires with no blood can be chosen [RTR 20010711] [PIB 20110725]
R1638	E	PRIMARY	101784|Siphon.2	The cards are chosen when the action is successful, not as part of the terms of the action. [PIB 20110725]
R1692	E	PRIMARY	101838|Sowing Dissension.1	Is an action directed at all other Methuselahs [PIB 20150821] [RTR 20080808]
R1755	E	PRIMARY	101895|Sudario Refraction.1	The chosen cards are named when the action is declared. The current Sudario cannot be part of them. [LSJ 20050422] [LSJ 20090722]
R1835	P	PRIMARY	101954|Temptation.4	If played on one of your own vampires, the action is undirected. Its effect can be used to unlock the vampire. [LSJ 20010828] [ANK 20180917]
R1979	E	PRIMARY	102121|Villein.3	If the target has less blood at resolution than the amount announced, you take what you can. [LSJ 20100216] [ANK 20180512-2]
R2011	E	PRIMARY	102160|Wave of Insanity.1	[DEM] Is directed at all Methuselah controlling an ally. [LSJ 20080809-1] [RTR 20081119]
R2021	E	PRIMARY	102168|Weigh the Heart.2	[AUS][SER] If the action targets multiple Methuselah, you choose one minion, which must be controlled by one of the target Methuselah. [ANK 20180515]
R2027	E	PRIMARY	102175|Whispers from the Dead.1	The card to retrieve must be announced when declaring the action. [LSJ 20010627]
R2068	E	PRIMARY	102232|Platinum Protocol, The.1	[pro] The minion getting the corruption counter is chosen at action resolution (not declaration). [ANK 20240706] [LSJ 20080608]
R2083	E	PRIMARY	102247|Break the Bonds.1	[pre] There must be an uncontrolled vampire, and it is chosen upon declaration. [ANK 20240706]
R2084	E	PRIMARY	102247|Break the Bonds.2	[obf] The prey need not control a minion, the target is chosen upon resolution. [ANK 20240706]
R2109	E	PRIMARY	200070|Ambrosio Luis Monçada, Plenipotentiary.1	Actions from minions of the same controller targeting him are undirected, so they are not affected by his ability. [LSJ 20030214-2]
R2131	P	PRIMARY	200104|Annazir.3	The action provided by his ability is directed against the Methuselah controlling the equipment or location, not the minion it's on. [LSJ 20090324]"
R2171	E	PRIMARY	200245|Carlotta Giovanni.1	The card being retrieved is announced when the action is declared. [LSJ 19970922]
R2195	E	PRIMARY	200389|Drozodny.1	When using his ability, the card to retrieve must be announced when declaring the action. [LSJ 20010627]
R2202	E	secondary	200427|Epikasta Rigatos.1	Can only retrieve a card played during that same action. [ANK 20180628]
R2205	P	PRIMARY	200438|Ethan Locke.1	Ethan's action is directed at the controller of the skill card, not the controller of the vampire. [LSJ 19970224]
R2208	E	PRIMARY	200443|Eurayle Gelasia Mylonas.1	Her ability is undirect if you control the target, directed to the controller of the target otherwise. [PIB 20121210]
R2256	P	secondary	200678|Jaroslav Pascek.1	When using the action provided by his ability, if some minions cannot be targeted because of another effect, the action will simply have no effect on the things it cannot target. [RTR 20080808]
R2382	E	PRIMARY	201098|Patrizia Giovanni, Collector of Secrets.1	When using her ability, the card to retrieve must be announced when declaring the action. [LSJ 20010627]
R2395	E	PRIMARY	201127|Pochtli.1	When using his ability, the card to retrieve must be announced when declaring the action. [LSJ 20010627]
R2446	E	secondary	201337|Talley, The Hound.1	Gets his +1 intercept if an action has any one target that would be enough to enable his effect. [RTR 20080808] [RTR 20081119]
R2465	P	secondary	201386|Travis "Traveler72" Miller.1	Must announce which conviction he burns as part of the terms of the action granted by his ability. [RTR 20111202]
R2529	P	PRIMARY	201627|Evan Klein.1	Actions from minions of the same controller targeting him are undirected, so they are not affected by his ability. [LSJ 20030214-2]
R2569	P	secondary	G00034|Justicar title vote without Camarilla.1	Only a Camarilla vampire can be chosen, it cannot be played without a valid target. [LSJ 20041026]
R2571	P	PRIMARY	G00036|Directed at a card.1	An action directed at a card controlled by another Methuselah is directed at that Methuselah. [RBK who-may-attempt-to-block] [LSJ 20090324]
R2583	P	PRIMARY	G00047|Locquipments.2	An action targeting it (eg. {Conceal}) is directed at the Methuselah controlling it, not the minion it is on. [LSJ 20090324]"
